entry_time,exit_time,dir,entry,exit,qty,bars_held,pnl,R,return_pct,reason,equity
2025-06-15 18:00:00+00:00,2025-06-16 21:00:00+00:00,long,105689.65,108359.55175,0.06307776273898785,27,160.310382265435,1.6031038226543501,2.5261714368436383,trail,10160.310382265436
2025-06-18 19:00:00+00:00,2025-06-19 00:00:00+00:00,short,103623.39,105177.74084999999,0.06536690466161765,5,-109.79231399075952,-1.0805999999999922,-1.4999999999999902,stop,10050.518068274676
2025-06-20 15:00:00+00:00,2025-06-20 18:00:00+00:00,short,103940.01,102864.70005,0.06446358220332848,3,61.31950790007553,0.6101129064544029,1.034548630503307,trail,10111.837576174752
2025-06-21 19:00:00+00:00,2025-06-22 00:00:00+00:00,short,102645.22,101351.1261,0.06567500221425965,5,76.95114345886935,0.7610005884605942,1.2607444360292708,trail,10188.788719633621
2025-06-22 14:00:00+00:00,2025-06-22 15:00:00+00:00,short,100865.66,99570.6883,0.06734230275288024,1,79.10766912787241,0.7764187805311271,1.2838578560830372,trail,10267.896388761494
2025-06-25 12:00:00+00:00,2025-07-01 19:00:00+00:00,long,107198.02,105590.0497,0.06385625647912462,151,-110.83167362029164,-1.0794000000000008,-1.5000000000000013,stop,10157.064715141201
2025-07-03 11:00:00+00:00,2025-07-04 13:00:00+00:00,long,109839.38,108191.7893,0.061647985237724405,26,-109.63535653523418,-1.0794000000000006,-1.5000000000000013,stop,10047.429358605967
2025-07-05 00:00:00+00:00,2025-07-06 23:00:00+00:00,long,107984.25,109160.07875,0.062030214953297774,47,64.85520447781623,0.6454905246212608,1.088889120404124,trail,10112.284563083784
2025-07-08 06:00:00+00:00,2025-07-09 20:00:00+00:00,long,108210.94,111458.7353,0.06229982885331055,38,194.12586143531487,1.9197033096160752,3.001355777890846,trail,10306.4104245191
2025-07-10 17:00:00+00:00,2025-07-10 22:00:00+00:00,long,112643.47,116304.78265,0.06099723564102502,5,214.95082415761954,2.085603185821597,3.2503549917274333,trail,10521.36124867672
2025-07-15 18:00:00+00:00,2025-07-16 11:00:00+00:00,long,117373.0,118723.885,0.059760258598239344,17,72.26371039537896,0.6868285261516672,1.1509333492370377,trail,10593.624959072098
