timeframe,is_trades,is_win_rate,is_profit_factor,is_expectancy_R,is_max_drawdown_pct,is_total_return_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_expectancy_R,oos_max_drawdown_pct,oos_total_return_pct,verdict
1h,639,0.563,1.68,0.338,-18.1,706.27,256,0.582,1.86,0.409,-15.27,178.38,HOLDS — edge persists out-of-sample (still validate with paper trading).
4h,174,0.511,1.77,0.398,-9.14,96.2,73,0.521,1.92,0.435,-8.08,36.2,HOLDS — edge persists out-of-sample (still validate with paper trading).
