entry_time,exit_time,dir,entry,exit,qty,bars_held,pnl,R,return_pct,reason,equity
2025-06-14 17:45:00+00:00,2025-06-15 05:55:00+00:00,short,104507.32,106074.9298,0.06379138482038069,146,-108.05999999999943,-1.0805999999999942,-1.4999999999999902,stop,9891.94
2025-06-15 07:55:00+00:00,2025-06-16 11:00:00+00:00,long,105453.45,106735.04275,0.0625359024922055,325,72.18391991316803,0.7297246031937923,1.2153160944473607,trail,9964.123919913169
2025-06-16 11:45:00+00:00,2025-06-16 21:35:00+00:00,long,106955.09,108353.22455,0.0621078368494862,118,78.81171232158442,0.790954758843176,1.3072164681456444,trail,10042.935632234754
2025-06-17 08:50:00+00:00,2025-06-17 17:20:00+00:00,short,106520.0,103903.62000000001,0.06285477301436196,102,156.5162936961395,1.5584715408686884,2.456233571160338,trail,10199.451925930893
2025-06-17 20:05:00+00:00,2025-06-20 08:15:00+00:00,short,104729.04,106299.97559999998,0.06492597103236374,722,-110.21527751160811,-1.080599999999989,-1.4999999999999902,stop,10089.236648419284
2025-06-20 17:00:00+00:00,2025-06-21 21:25:00+00:00,short,103670.61,102098.35305,0.0648800828471334,341,93.99797675094935,0.9316658933327363,1.516588886667103,trail,10183.234625170233
2025-06-21 23:25:00+00:00,2025-06-22 00:30:00+00:00,short,101453.05,102974.84575,0.06691590921561079,13,-110.04003335958889,-1.0805999999999936,-1.4999999999999902,stop,10073.194591810645
2025-06-22 01:20:00+00:00,2025-06-22 13:45:00+00:00,short,102562.02,100781.5601,0.06547709435917015,149,108.59073280609525,1.0780168278926914,1.7359836516480431,trail,10181.78532461674
2025-06-23 00:50:00+00:00,2025-06-23 16:35:00+00:00,long,101445.54,99923.8569,0.06691133866582827,189,-109.90219079391278,-1.0793999999999968,-1.4999999999999902,stop,10071.883133822826
2025-06-23 20:20:00+00:00,2025-06-23 22:15:00+00:00,long,103643.88,105028.2706,0.06478519287276667,23,81.57669271796749,0.8099447902053317,1.3357186164778767,trail,10153.459826540795
2025-06-24 09:00:00+00:00,2025-06-25 01:20:00+00:00,long,104996.78,106091.02609999999,0.064468388627669,196,62.379188398180375,0.6143638667395258,1.0421711027709613,trail,10215.839014938976
